SECTION,OFFENSE DESCRIPTION,OFFENSE TYPE,OFFENSE GRAVITY
3.32,Conducting with expired license (Type D),D,GRAVE
3.33,"Failure to bring onboard the ticket booklet, trip report and the like onboard the bus (Type D)",D,GRAVE
3.34,Lowering or overcharging of fare and cutting fare (Type D),D,GRAVE
3.35,Discrimination of passenger (Type C),C,SERIOUS
3.36,Not issuing ticket to passenger (Type D),D,GRAVE
3.37,"Using fake, unregistered, used ticket or reissuing ticket and jumping ticket (Type D)",D,GRAVE
3.38,Collecting fare more than the amount indicated in the ticket (Type D),D,GRAVE
3.39,Collecting fare without issuance of ticket (Type D),D,GRAVE
3.4,"Lost trip report, lost ticket booklet, loss ticket stub and the like (Type C)",C,SERIOUS
3.41,Jumping ticket (Type D),D,GRAVE
3.42,"Allowing free ride, free freight and discount to unauthorized passengers (Type C)",C,SERIOUS
3.43,Possession of unregistered ticket (Type E),E,CAPITAL
3.44,Removing ticket head stub. All violations causing damage or loss to the company shall include the penalty of PAYMENT OF DAMAGES (Type D),D,GRAVE
4.1,"Unauthorized possession and carrying of firearms, explosives, or other deadly weapon while on company premises (Type E)",E,CAPITAL
4.2,"Forced or unauthorized entry into an office or premises of the company during off hours without committing acts punishable under sections 1,4,5 and 8 of Article II hereof. (Type C)",C,SERIOUS
4.3,Entering restricted areas without permission (Type C),C,SERIOUS
4.4,Creating or contributing to unsafe and unsanitary conditions inside company premises (Type A),A,LIGHT
4.5,Violation or failure to follow a general safety rule and/or practice (Type A),A,LIGHT
4.6,Littering inside the company premises and immediate surrounding area (Type A),A,LIGHT
4.7,Unauthorized and/or unjustified use of fire protection equipment (Type C),C,SERIOUS
4.8,"Operating and/or tampering of switches, controls, installations, machines or equipments without authorization (Type C)",C,SERIOUS
4.9,Failure to report immediately a personal injury occurring on company time or property (Type A),A,LIGHT
4.1,"Willful disregard of office directive relating to sanitary conditions, cleanliness, and orderliness of the office, security of office supplies, and equipment or performing any act contributing to unsanitary condition or practice on company premises or job areas (Type A)",A,LIGHT
4.11.1,"Reporting for work while having a serious contagious disease which may endanger the health of other employees, knowing about it, yet failing to report or willfully withholding information thereof from company authorities. If the contagious disease is not of a serious nature (Type C)",C,SERIOUS
4.11.2,"Reporting for work while having a serious contagious disease which may endanger the health of other employees, knowing about it, yet failing to report or willfully withholding information thereof from company authorities (Type D)",D,GRAVE
4.12,Failure to undergo scheduled Drug Testing by the company and failure to obey as directed or ordered by the company (Type E),E,CAPITAL
4.13,"Scuffling, “horsing around,” or throwing things or otherwise wasting time during work hours (Type B)",B,MINOR
4.14,"Reckless driving (no safe distance, overtaking on shoulder, curve and rough road, over speeding, swerving, etc.) (Type C)",C,SERIOUS
4.15,Smoking inside the bus or near the bus while it is already waiting for passengers (Type B),B,MINOR
4.16,Using electronic handheld devices or using headset/earphone while driving (Type A),A,LIGHT
4.17,Delaying trip or leaving the bus unattended while waiting for passengers (Type A),A,LIGHT
4.18,"Road/Traffic violation (beating the red light, no loading and unloading, not wearing seatbelt, not passing on yellow lane, etc.) (Type B)",B,MINOR
4.19,Allowing non-authorized vendors inside the bus (Type C),C,SERIOUS
4.2,Not cleaning the bus or driving a dirty bus (Type B),B,MINOR
5.1.1,Reporting for work while under the influence of liquor and/ or intoxicating drinks (Type C),C,SERIOUS
5.1.2,Reporting for work while under the influence of prohibited drugs (Type E),E,CAPITAL
5.2.1,"Drinking or bringing in any liquor, intoxicating drinks into company premises or on company- sponsored activities (Type C)",C,SERIOUS
5.2.2,Use of or bringing in prohibited drugs inside the company premises or during company duty activities (Type E),E,CAPITAL
5.3,"Making false, vicious, or malicious statement concerning any employee (Type E)",E,CAPITAL
